Date,Equipment_ID,Equipment_Type,Department,Available_Hours,Actual_Operating_Hours,Utilization_Rate,Number_of_Procedures,Cost_per_procedure,Daily_Operating_Cost,Procedure_Revenue,Day_of_Week,Month,Is_Weekend,Net-Profit (daily),,,,
10/28/2023,MAMMO_0830,Mammography Unit,Women's Health,8,5.8,0.72,10,5000,1000,"KES 50,000",Saturday,October,TRUE,"KES 49,000",,,,
6/6/2023,MAMMO_0831,Mammography Unit,Women's Health,18,3.7,0.21,11,5000,1000,"KES 55,000",Tuesday,June,FALSE,"KES 54,000",,,,
6/30/2023,XRAY_0832,X-Ray Machine,Radiology,19,5.5,0.29,22,2000,1500,"KES 44,000",Friday,June,FALSE,"KES 42,500",,,,
8/11/2023,XRAY_0833,X-Ray Machine,Radiology,15,10.9,0.73,11,2000,1500,"KES 22,000",Friday,August,FALSE,"KES 20,500",,,,
3/5/2023,MRI_0834,MRI Scanner,Radiology,15,0.7,0.05,1,30000,5000,"KES 30,000",Sunday,March,TRUE,"KES 25,000",,,,
3/3/2023,CT_0835,CT Scanner,Radiology,17,4,0.24,13,10000,3000,"KES 130,000",Friday,March,FALSE,"KES 127,000",,,,
3/8/2023,MRI_0836,MRI Scanner,Radiology,12,1.9,0.16,4,30000,5000,"KES 120,000",Wednesday,March,FALSE,"KES 115,000",,,,
6/29/2023,MAMMO_0837,Mammography Unit,Women's Health,16,5,0.31,14,5000,1000,"KES 70,000",Thursday,June,FALSE,"KES 69,000",,,,
11/20/2023,XRAY_0838,X-Ray Machine,Radiology,16,4.1,0.26,19,2000,1500,"KES 38,000",Monday,November,FALSE,"KES 36,500",,,,
11/18/2023,CT_0839,CT Scanner,Radiology,8,6.6,0.82,13,10000,3000,"KES 130,000",Saturday,November,TRUE,"KES 127,000",,,,
3/18/2023,XRAY_0840,X-Ray Machine,Radiology,12,8.2,0.68,20,2000,1500,"KES 40,000",Saturday,March,TRUE,"KES 38,500",,,,
9/12/2023,US_0841,Ultrasound,Radiology,11,6.4,0.58,16,3000,1000,"KES 48,000",Tuesday,September,FALSE,"KES 47,000",,,,
8/31/2023,US_0842,Ultrasound,Radiology,10,8.1,0.81,24,3000,1000,"KES 72,000",Thursday,August,FALSE,"KES 71,000",,,,
5/1/2023,XRAY_0843,X-Ray Machine,Radiology,14,6.2,0.44,20,2000,1500,"KES 40,000",Monday,May,FALSE,"KES 38,500",,,,
1/10/2023,US_0844,Ultrasound,Radiology,11,10.2,0.93,30,3000,1000,"KES 90,000",Tuesday,January,FALSE,"KES 89,000",,,,
3/25/2023,US_0845,Ultrasound,Radiology,10,9.4,0.94,28,3000,1000,"KES 84,000",Saturday,March,TRUE,"KES 83,000",,,,
11/5/2023,MAMMO_0846,Mammography Unit,Women's Health,12,8.5,0.71,13,5000,1000,"KES 65,000",Sunday,November,TRUE,"KES 64,000",,,,
7/3/2023,MRI_0847,MRI Scanner,Radiology,8,2.3,0.29,4,30000,5000,"KES 120,000",Monday,July,FALSE,"KES 115,000",,,,
5/26/2023,MRI_0848,MRI Scanner,Radiology,9,1.4,0.16,2,30000,5000,"KES 60,000",Friday,May,FALSE,"KES 55,000",,,,
10/26/2023,US_0849,Ultrasound,Radiology,11,9.8,0.89,20,3000,1000,"KES 60,000",Thursday,October,FALSE,"KES 59,000",,,,
6/17/2023,CT_0850,CT Scanner,Radiology,14,6.8,0.49,28,10000,3000,"KES 280,000",Saturday,June,TRUE,"KES 277,000",,,,
2/4/2023,XRAY_0851,X-Ray Machine,Radiology,15,14.8,0.99,12,2000,1500,"KES 24,000",Saturday,February,TRUE,"KES 22,500",,,,
6/29/2023,CT_0852,CT Scanner,Radiology,11,3.1,0.28,29,10000,3000,"KES 290,000",Thursday,June,FALSE,"KES 287,000",,,,
3/10/2023,CT_0853,CT Scanner,Radiology,19,10.3,0.54,23,10000,3000,"KES 230,000",Friday,March,FALSE,"KES 227,000",,,,
9/10/2023,MRI_0854,MRI Scanner,Radiology,11,0.8,0.07,5,30000,5000,"KES 150,000",Sunday,September,TRUE,"KES 145,000",,,,
12/26/2023,XRAY_0855,X-Ray Machine,Radiology,10,10,1,24,2000,1500,"KES 48,000",Tuesday,December,FALSE,"KES 46,500",,,,
8/25/2023,XRAY_0856,X-Ray Machine,Radiology,14,11.4,0.81,10,2000,1500,"KES 20,000",Friday,August,FALSE,"KES 18,500",,,,
3/11/2023,XRAY_0857,X-Ray Machine,Radiology,11,4.3,0.39,29,2000,1500,"KES 58,000",Saturday,March,TRUE,"KES 56,500",,,,
11/25/2023,MRI_0858,MRI Scanner,Radiology,11,1.2,0.11,1,30000,5000,"KES 30,000",Saturday,November,TRUE,"KES 25,000",,,,
1/15/2023,CT_0859,CT Scanner,Radiology,13,9,0.69,15,10000,3000,"KES 150,000",Sunday,January,TRUE,"KES 147,000",,,,
2/3/2023,MAMMO_0860,Mammography Unit,Women's Health,10,8.4,0.84,6,5000,1000,"KES 30,000",Friday,February,FALSE,"KES 29,000",,,,
3/12/2023,MRI_0861,MRI Scanner,Radiology,10,0.5,0.05,4,30000,5000,"KES 120,000",Sunday,March,TRUE,"KES 115,000",,,,
3/28/2023,US_0862,Ultrasound,Radiology,10,6.7,0.67,15,3000,1000,"KES 45,000",Tuesday,March,FALSE,"KES 44,000",,,,
9/17/2023,MAMMO_0863,Mammography Unit,Women's Health,18,16.3,0.91,27,5000,1000,"KES 135,000",Sunday,September,TRUE,"KES 134,000",,,,
1/26/2023,MAMMO_0864,Mammography Unit,Women's Health,17,10.6,0.62,13,5000,1000,"KES 65,000",Thursday,January,FALSE,"KES 64,000",,,,
3/13/2023,US_0865,Ultrasound,Radiology,12,6.9,0.58,29,3000,1000,"KES 87,000",Monday,March,FALSE,"KES 86,000",,,,
11/30/2023,MAMMO_0866,Mammography Unit,Women's Health,9,6.7,0.74,15,5000,1000,"KES 75,000",Thursday,November,FALSE,"KES 74,000",,,,
7/24/2023,MAMMO_0867,Mammography Unit,Women's Health,17,13.8,0.81,6,5000,1000,"KES 30,000",Monday,July,FALSE,"KES 29,000",,,,
8/21/2023,MRI_0868,MRI Scanner,Radiology,8,2.1,0.26,3,30000,5000,"KES 90,000",Monday,August,FALSE,"KES 85,000",,,,
7/27/2023,MAMMO_0869,Mammography Unit,Women's Health,18,11.7,0.65,29,5000,1000,"KES 145,000",Thursday,July,FALSE,"KES 144,000",,,,
6/16/2023,CT_0870,CT Scanner,Radiology,14,8.1,0.58,12,10000,3000,"KES 120,000",Friday,June,FALSE,"KES 117,000",,,,
7/19/2023,CT_0871,CT Scanner,Radiology,9,5.9,0.66,18,10000,3000,"KES 180,000",Wednesday,July,FALSE,"KES 177,000",,,,
5/10/2023,CT_0872,CT Scanner,Radiology,8,5.6,0.7,30,10000,3000,"KES 300,000",Wednesday,May,FALSE,"KES 297,000",,,,
12/24/2023,CT_0873,CT Scanner,Radiology,12,8.5,0.71,18,10000,3000,"KES 180,000",Sunday,December,TRUE,"KES 177,000",,,,
8/9/2023,MAMMO_0874,Mammography Unit,Women's Health,16,5.1,0.32,20,5000,1000,"KES 100,000",Wednesday,August,FALSE,"KES 99,000",,,,
3/8/2023,CT_0875,CT Scanner,Radiology,19,3.4,0.18,21,10000,3000,"KES 210,000",Wednesday,March,FALSE,"KES 207,000",,,,
11/2/2023,MAMMO_0876,Mammography Unit,Women's Health,13,9.4,0.72,19,5000,1000,"KES 95,000",Thursday,November,FALSE,"KES 94,000",,,,
1/1/2023,XRAY_0877,X-Ray Machine,Radiology,13,6.6,0.51,28,2000,1500,"KES 56,000",Sunday,January,TRUE,"KES 54,500",,,,
12/20/2023,XRAY_0878,X-Ray Machine,Radiology,15,11,0.73,28,2000,1500,"KES 56,000",Wednesday,December,FALSE,"KES 54,500",,,,
10/7/2023,MAMMO_0879,Mammography Unit,Women's Health,15,10.2,0.68,7,5000,1000,"KES 35,000",Saturday,October,TRUE,"KES 34,000",,,,
7/1/2023,XRAY_0880,X-Ray Machine,Radiology,11,10.6,0.96,6,2000,1500,"KES 12,000",Saturday,July,TRUE,"KES 10,500",,,,
4/22/2023,CT_0881,CT Scanner,Radiology,14,13,0.93,15,10000,3000,"KES 150,000",Saturday,April,TRUE,"KES 147,000",,,,
3/16/2023,US_0882,Ultrasound,Radiology,12,10.9,0.91,39,3000,1000,"KES 117,000",Thursday,March,FALSE,"KES 116,000",,,,
3/9/2023,MRI_0883,MRI Scanner,Radiology,13,3.9,0.3,3,30000,5000,"KES 90,000",Thursday,March,FALSE,"KES 85,000",,,,
4/3/2023,US_0884,Ultrasound,Radiology,10,7,0.7,34,3000,1000,"KES 102,000",Monday,April,FALSE,"KES 101,000",,,,
2/20/2023,MRI_0885,MRI Scanner,Radiology,12,3.1,0.26,5,30000,5000,"KES 150,000",Monday,February,FALSE,"KES 145,000",,,,
4/9/2023,MRI_0886,MRI Scanner,Radiology,13,0.6,0.05,5,30000,5000,"KES 150,000",Sunday,April,TRUE,"KES 145,000",,,,
1/26/2023,US_0887,Ultrasound,Radiology,10,6,0.6,28,3000,1000,"KES 84,000",Thursday,January,FALSE,"KES 83,000",,,,
12/12/2023,MAMMO_0888,Mammography Unit,Women's Health,11,4.4,0.4,27,5000,1000,"KES 135,000",Tuesday,December,FALSE,"KES 134,000",,,,
7/5/2023,US_0889,Ultrasound,Radiology,10,7.8,0.78,34,3000,1000,"KES 102,000",Wednesday,July,FALSE,"KES 101,000",,,,
3/11/2023,MAMMO_0890,Mammography Unit,Women's Health,15,13.7,0.91,17,5000,1000,"KES 85,000",Saturday,March,TRUE,"KES 84,000",,,,
5/13/2023,XRAY_0891,X-Ray Machine,Radiology,11,6.5,0.59,12,2000,1500,"KES 24,000",Saturday,May,TRUE,"KES 22,500",,,,
6/9/2023,US_0892,Ultrasound,Radiology,8,7.6,0.95,35,3000,1000,"KES 105,000",Friday,June,FALSE,"KES 104,000",,,,
1/23/2023,MAMMO_0893,Mammography Unit,Women's Health,9,3.4,0.38,14,5000,1000,"KES 70,000",Monday,January,FALSE,"KES 69,000",,,,
2/8/2023,US_0894,Ultrasound,Radiology,12,6.6,0.55,15,3000,1000,"KES 45,000",Wednesday,February,FALSE,"KES 44,000",,,,
12/29/2023,CT_0895,CT Scanner,Radiology,10,6.1,0.61,18,10000,3000,"KES 180,000",Friday,December,FALSE,"KES 177,000",,,,
4/26/2023,CT_0896,CT Scanner,Radiology,9,7.4,0.82,19,10000,3000,"KES 190,000",Wednesday,April,FALSE,"KES 187,000",,,,
11/22/2023,MAMMO_0897,Mammography Unit,Women's Health,11,7,0.64,20,5000,1000,"KES 100,000",Wednesday,November,FALSE,"KES 99,000",,,,
3/5/2023,XRAY_0898,X-Ray Machine,Radiology,12,3.1,0.26,22,2000,1500,"KES 44,000",Sunday,March,TRUE,"KES 42,500",,,,
8/1/2023,MRI_0899,MRI Scanner,Radiology,13,1.7,0.13,3,30000,5000,"KES 90,000",Tuesday,August,FALSE,"KES 85,000",,,,
5/18/2023,MRI_0900,MRI Scanner,Radiology,13,2.4,0.18,1,30000,5000,"KES 30,000",Thursday,May,FALSE,"KES 25,000",,,,
4/16/2023,MAMMO_0901,Mammography Unit,Women's Health,10,7.9,0.79,10,5000,1000,"KES 50,000",Sunday,April,TRUE,"KES 49,000",,,,
9/22/2023,CT_0902,CT Scanner,Radiology,8,4.2,0.53,12,10000,3000,"KES 120,000",Friday,September,FALSE,"KES 117,000",,,,
4/20/2023,US_0903,Ultrasound,Radiology,9,8.9,0.99,16,3000,1000,"KES 48,000",Thursday,April,FALSE,"KES 47,000",,,,
7/25/2023,MRI_0904,MRI Scanner,Radiology,14,0.6,0.04,5,30000,5000,"KES 150,000",Tuesday,July,FALSE,"KES 145,000",,,,
6/14/2023,MRI_0905,MRI Scanner,Radiology,15,3.8,0.25,2,30000,5000,"KES 60,000",Wednesday,June,FALSE,"KES 55,000",,,,
11/27/2023,XRAY_0906,X-Ray Machine,Radiology,9,5.9,0.66,15,2000,1500,"KES 30,000",Monday,November,FALSE,"KES 28,500",,,,
4/5/2023,MRI_0907,MRI Scanner,Radiology,8,4,0.5,5,30000,5000,"KES 150,000",Wednesday,April,FALSE,"KES 145,000",,,,
10/2/2023,US_0908,Ultrasound,Radiology,9,6.1,0.68,17,3000,1000,"KES 51,000",Monday,October,FALSE,"KES 50,000",,,,
7/30/2023,MRI_0909,MRI Scanner,Radiology,15,0.5,0.03,1,30000,5000,"KES 30,000",Sunday,July,TRUE,"KES 25,000",,,,
3/13/2023,US_0910,Ultrasound,Radiology,8,6.5,0.81,18,3000,1000,"KES 54,000",Monday,March,FALSE,"KES 53,000",,,,
12/29/2023,CT_0911,CT Scanner,Radiology,15,6.8,0.45,11,10000,3000,"KES 110,000",Friday,December,FALSE,"KES 107,000",,,,
10/9/2023,US_0912,Ultrasound,Radiology,8,7.3,0.91,21,3000,1000,"KES 63,000",Monday,October,FALSE,"KES 62,000",,,,
4/22/2023,MAMMO_0913,Mammography Unit,Women's Health,9,3.7,0.41,30,5000,1000,"KES 150,000",Saturday,April,TRUE,"KES 149,000",,,,
4/7/2023,XRAY_0914,X-Ray Machine,Radiology,11,8.7,0.79,27,2000,1500,"KES 54,000",Friday,April,FALSE,"KES 52,500",,,,
6/28/2023,US_0915,Ultrasound,Radiology,10,8.3,0.83,19,3000,1000,"KES 57,000",Wednesday,June,FALSE,"KES 56,000",,,,
9/3/2023,US_0916,Ultrasound,Radiology,9,9,1,30,3000,1000,"KES 90,000",Sunday,September,TRUE,"KES 89,000",,,,
1/28/2023,MAMMO_0917,Mammography Unit,Women's Health,17,11.7,0.69,18,5000,1000,"KES 90,000",Saturday,January,TRUE,"KES 89,000",,,,
6/21/2023,MRI_0918,MRI Scanner,Radiology,8,2.9,0.36,5,30000,5000,"KES 150,000",Wednesday,June,FALSE,"KES 145,000",,,,
5/15/2023,MRI_0919,MRI Scanner,Radiology,9,2.3,0.26,1,30000,5000,"KES 30,000",Monday,May,FALSE,"KES 25,000",,,,
4/20/2023,XRAY_0920,X-Ray Machine,Radiology,17,10.4,0.61,14,2000,1500,"KES 28,000",Thursday,April,FALSE,"KES 26,500",,,,
2/8/2023,MAMMO_0921,Mammography Unit,Women's Health,18,16.6,0.92,22,5000,1000,"KES 110,000",Wednesday,February,FALSE,"KES 109,000",,,,
12/9/2023,XRAY_0922,X-Ray Machine,Radiology,20,15.5,0.78,7,2000,1500,"KES 14,000",Saturday,December,TRUE,"KES 12,500",,,,
2/9/2023,XRAY_0923,X-Ray Machine,Radiology,14,8.2,0.59,19,2000,1500,"KES 38,000",Thursday,February,FALSE,"KES 36,500",,,,
5/7/2023,CT_0924,CT Scanner,Radiology,8,6.3,0.79,21,10000,3000,"KES 210,000",Sunday,May,TRUE,"KES 207,000",,,,
7/17/2023,CT_0925,CT Scanner,Radiology,16,4.3,0.27,12,10000,3000,"KES 120,000",Monday,July,FALSE,"KES 117,000",,,,
11/5/2023,MRI_0926,MRI Scanner,Radiology,8,0.8,0.1,4,30000,5000,"KES 120,000",Sunday,November,TRUE,"KES 115,000",,,,
2/17/2023,US_0927,Ultrasound,Radiology,8,7.6,0.95,27,3000,1000,"KES 81,000",Friday,February,FALSE,"KES 80,000",,,,
4/26/2023,CT_0928,CT Scanner,Radiology,18,12.1,0.67,10,10000,3000,"KES 100,000",Wednesday,April,FALSE,"KES 97,000",,,,
10/2/2023,MAMMO_0929,Mammography Unit,Women's Health,10,3,0.3,15,5000,1000,"KES 75,000",Monday,October,FALSE,"KES 74,000",,,,
5/16/2023,CT_0930,CT Scanner,Radiology,13,11.5,0.88,30,10000,3000,"KES 300,000",Tuesday,May,FALSE,"KES 297,000",,,,
4/13/2023,US_0931,Ultrasound,Radiology,12,12,1,17,3000,1000,"KES 51,000",Thursday,April,FALSE,"KES 50,000",,,,
11/10/2023,MRI_0932,MRI Scanner,Radiology,11,0.8,0.07,1,30000,5000,"KES 30,000",Friday,November,FALSE,"KES 25,000",,,,
11/15/2023,CT_0933,CT Scanner,Radiology,8,4.7,0.59,9,10000,3000,"KES 90,000",Wednesday,November,FALSE,"KES 87,000",,,,
8/17/2023,CT_0934,CT Scanner,Radiology,11,4.5,0.41,17,10000,3000,"KES 170,000",Thursday,August,FALSE,"KES 167,000",,,,
12/25/2023,XRAY_0935,X-Ray Machine,Radiology,14,11.3,0.81,6,2000,1500,"KES 12,000",Monday,December,FALSE,"KES 10,500",,,,
3/17/2023,XRAY_0936,X-Ray Machine,Radiology,20,13.4,0.67,27,2000,1500,"KES 54,000",Friday,March,FALSE,"KES 52,500",,,,
12/30/2023,CT_0937,CT Scanner,Radiology,18,7,0.39,13,10000,3000,"KES 130,000",Saturday,December,TRUE,"KES 127,000",,,,
4/6/2023,XRAY_0938,X-Ray Machine,Radiology,15,11.9,0.79,18,2000,1500,"KES 36,000",Thursday,April,FALSE,"KES 34,500",,,,
1/16/2023,US_0939,Ultrasound,Radiology,8,6.9,0.86,26,3000,1000,"KES 78,000",Monday,January,FALSE,"KES 77,000",,,,
9/20/2023,XRAY_0940,X-Ray Machine,Radiology,17,5.2,0.31,25,2000,1500,"KES 50,000",Wednesday,September,FALSE,"KES 48,500",,,,
3/2/2023,CT_0941,CT Scanner,Radiology,11,10.3,0.94,7,10000,3000,"KES 70,000",Thursday,March,FALSE,"KES 67,000",,,,
11/18/2023,CT_0942,CT Scanner,Radiology,15,4.5,0.3,13,10000,3000,"KES 130,000",Saturday,November,TRUE,"KES 127,000",,,,
4/20/2023,CT_0943,CT Scanner,Radiology,12,6.9,0.58,28,10000,3000,"KES 280,000",Thursday,April,FALSE,"KES 277,000",,,,
11/27/2023,MAMMO_0944,Mammography Unit,Women's Health,13,12.4,0.95,9,5000,1000,"KES 45,000",Monday,November,FALSE,"KES 44,000",,,,
7/18/2023,US_0945,Ultrasound,Radiology,8,7.5,0.94,34,3000,1000,"KES 102,000",Tuesday,July,FALSE,"KES 101,000",,,,
3/8/2023,XRAY_0946,X-Ray Machine,Radiology,8,6,0.75,10,2000,1500,"KES 20,000",Wednesday,March,FALSE,"KES 18,500",,,,
5/27/2023,MAMMO_0947,Mammography Unit,Women's Health,15,6,0.4,21,5000,1000,"KES 105,000",Saturday,May,TRUE,"KES 104,000",,,,
11/30/2023,CT_0948,CT Scanner,Radiology,8,3.9,0.49,29,10000,3000,"KES 290,000",Thursday,November,FALSE,"KES 287,000",,,,
6/8/2023,MAMMO_0949,Mammography Unit,Women's Health,14,3.7,0.26,12,5000,1000,"KES 60,000",Thursday,June,FALSE,"KES 59,000",,,,
1/6/2023,XRAY_0950,X-Ray Machine,Radiology,9,8.9,0.99,22,2000,1500,"KES 44,000",Friday,January,FALSE,"KES 42,500",,,,
3/24/2023,CT_0951,CT Scanner,Radiology,20,10.2,0.51,30,10000,3000,"KES 300,000",Friday,March,FALSE,"KES 297,000",,,,
11/2/2023,CT_0952,CT Scanner,Radiology,8,6.6,0.82,24,10000,3000,"KES 240,000",Thursday,November,FALSE,"KES 237,000",,,,
9/3/2023,US_0953,Ultrasound,Radiology,8,6.2,0.78,31,3000,1000,"KES 93,000",Sunday,September,TRUE,"KES 92,000",,,,
1/15/2023,XRAY_0954,X-Ray Machine,Radiology,15,13,0.87,26,2000,1500,"KES 52,000",Sunday,January,TRUE,"KES 50,500",,,,
8/8/2023,CT_0955,CT Scanner,Radiology,17,7.2,0.42,6,10000,3000,"KES 60,000",Tuesday,August,FALSE,"KES 57,000",,,,
9/21/2023,XRAY_0956,X-Ray Machine,Radiology,8,4.3,0.54,12,2000,1500,"KES 24,000",Thursday,September,FALSE,"KES 22,500",,,,
12/27/2023,US_0957,Ultrasound,Radiology,11,9.2,0.84,36,3000,1000,"KES 108,000",Wednesday,December,FALSE,"KES 107,000",,,,
10/15/2023,MAMMO_0958,Mammography Unit,Women's Health,13,11.9,0.92,18,5000,1000,"KES 90,000",Sunday,October,TRUE,"KES 89,000",,,,
3/4/2023,US_0959,Ultrasound,Radiology,10,7.9,0.79,34,3000,1000,"KES 102,000",Saturday,March,TRUE,"KES 101,000",,,,
3/29/2023,XRAY_0960,X-Ray Machine,Radiology,16,5.2,0.33,19,2000,1500,"KES 38,000",Wednesday,March,FALSE,"KES 36,500",,,,
4/26/2023,CT_0961,CT Scanner,Radiology,11,7.3,0.66,27,10000,3000,"KES 270,000",Wednesday,April,FALSE,"KES 267,000",,,,
6/17/2023,XRAY_0962,X-Ray Machine,Radiology,20,10.2,0.51,26,2000,1500,"KES 52,000",Saturday,June,TRUE,"KES 50,500",,,,
5/17/2023,XRAY_0963,X-Ray Machine,Radiology,12,7.4,0.62,8,2000,1500,"KES 16,000",Wednesday,May,FALSE,"KES 14,500",,,,
12/2/2023,MAMMO_0964,Mammography Unit,Women's Health,19,3.6,0.19,10,5000,1000,"KES 50,000",Saturday,December,TRUE,"KES 49,000",,,,
4/27/2023,MRI_0965,MRI Scanner,Radiology,14,3,0.21,4,30000,5000,"KES 120,000",Thursday,April,FALSE,"KES 115,000",,,,
12/27/2023,XRAY_0966,X-Ray Machine,Radiology,11,10.9,0.99,6,2000,1500,"KES 12,000",Wednesday,December,FALSE,"KES 10,500",,,,
6/10/2023,CT_0967,CT Scanner,Radiology,20,6.9,0.35,9,10000,3000,"KES 90,000",Saturday,June,TRUE,"KES 87,000",,,,
5/12/2023,MAMMO_0968,Mammography Unit,Women's Health,14,12.7,0.91,8,5000,1000,"KES 40,000",Friday,May,FALSE,"KES 39,000",,,,
7/15/2023,CT_0969,CT Scanner,Radiology,19,12.4,0.65,14,10000,3000,"KES 140,000",Saturday,July,TRUE,"KES 137,000",,,,
5/31/2023,MRI_0970,MRI Scanner,Radiology,8,1.9,0.24,2,30000,5000,"KES 60,000",Wednesday,May,FALSE,"KES 55,000",,,,
10/24/2023,CT_0971,CT Scanner,Radiology,9,5.6,0.62,28,10000,3000,"KES 280,000",Tuesday,October,FALSE,"KES 277,000",,,,
10/3/2023,CT_0972,CT Scanner,Radiology,18,5.4,0.3,29,10000,3000,"KES 290,000",Tuesday,October,FALSE,"KES 287,000",,,,
11/9/2023,MAMMO_0973,Mammography Unit,Women's Health,20,7.1,0.35,26,5000,1000,"KES 130,000",Thursday,November,FALSE,"KES 129,000",,,,
4/24/2023,MAMMO_0974,Mammography Unit,Women's Health,20,19.9,0.99,13,5000,1000,"KES 65,000",Monday,April,FALSE,"KES 64,000",,,,
12/7/2023,US_0975,Ultrasound,Radiology,11,9.3,0.85,39,3000,1000,"KES 117,000",Thursday,December,FALSE,"KES 116,000",,,,
5/18/2023,CT_0976,CT Scanner,Radiology,17,9.4,0.55,21,10000,3000,"KES 210,000",Thursday,May,FALSE,"KES 207,000",,,,
3/18/2023,XRAY_0977,X-Ray Machine,Radiology,19,7.2,0.38,21,2000,1500,"KES 42,000",Saturday,March,TRUE,"KES 40,500",,,,
2/27/2023,US_0978,Ultrasound,Radiology,11,8.3,0.75,35,3000,1000,"KES 105,000",Monday,February,FALSE,"KES 104,000",,,,
8/30/2023,XRAY_0979,X-Ray Machine,Radiology,20,17.3,0.86,12,2000,1500,"KES 24,000",Wednesday,August,FALSE,"KES 22,500",,,,
2/8/2023,US_0980,Ultrasound,Radiology,9,7.7,0.86,32,3000,1000,"KES 96,000",Wednesday,February,FALSE,"KES 95,000",,,,
3/25/2023,MRI_0981,MRI Scanner,Radiology,12,3.1,0.26,5,30000,5000,"KES 150,000",Saturday,March,TRUE,"KES 145,000",,,,
7/11/2023,MRI_0982,MRI Scanner,Radiology,15,3.2,0.21,4,30000,5000,"KES 120,000",Tuesday,July,FALSE,"KES 115,000",,,,
2/4/2023,MRI_0983,MRI Scanner,Radiology,16,1.2,0.07,4,30000,5000,"KES 120,000",Saturday,February,TRUE,"KES 115,000",,,,
10/3/2023,MRI_0984,MRI Scanner,Radiology,9,2.7,0.3,2,30000,5000,"KES 60,000",Tuesday,October,FALSE,"KES 55,000",,,,
12/5/2023,CT_0985,CT Scanner,Radiology,9,8.6,0.96,21,10000,3000,"KES 210,000",Tuesday,December,FALSE,"KES 207,000",,,,
12/7/2023,US_0986,Ultrasound,Radiology,12,6.8,0.57,37,3000,1000,"KES 111,000",Thursday,December,FALSE,"KES 110,000",,,,
2/3/2023,US_0987,Ultrasound,Radiology,12,10.2,0.85,36,3000,1000,"KES 108,000",Friday,February,FALSE,"KES 107,000",,,,
9/23/2023,MRI_0988,MRI Scanner,Radiology,13,1,0.08,2,30000,5000,"KES 60,000",Saturday,September,TRUE,"KES 55,000",,,,
4/5/2023,MRI_0989,MRI Scanner,Radiology,15,1.6,0.11,4,30000,5000,"KES 120,000",Wednesday,April,FALSE,"KES 115,000",,,,
8/31/2023,US_0990,Ultrasound,Radiology,12,7.6,0.63,27,3000,1000,"KES 81,000",Thursday,August,FALSE,"KES 80,000",,,,
9/15/2023,XRAY_0991,X-Ray Machine,Radiology,11,5.9,0.54,24,2000,1500,"KES 48,000",Friday,September,FALSE,"KES 46,500",,,,
1/27/2023,XRAY_0992,X-Ray Machine,Radiology,15,5.5,0.37,8,2000,1500,"KES 16,000",Friday,January,FALSE,"KES 14,500",,,,
1/7/2023,MAMMO_0993,Mammography Unit,Women's Health,17,4.9,0.29,9,5000,1000,"KES 45,000",Saturday,January,TRUE,"KES 44,000",,,,
7/3/2023,US_0994,Ultrasound,Radiology,12,11.7,0.97,40,3000,1000,"KES 120,000",Monday,July,FALSE,"KES 119,000",,,,
2/4/2023,XRAY_0995,X-Ray Machine,Radiology,19,18.6,0.98,20,2000,1500,"KES 40,000",Saturday,February,TRUE,"KES 38,500",,,,
7/17/2023,CT_0996,CT Scanner,Radiology,14,4.3,0.31,6,10000,3000,"KES 60,000",Monday,July,FALSE,"KES 57,000",,,,
7/5/2023,US_0997,Ultrasound,Radiology,12,9.4,0.78,19,3000,1000,"KES 57,000",Wednesday,July,FALSE,"KES 56,000",,,,
2/16/2023,XRAY_0998,X-Ray Machine,Radiology,11,10.8,0.98,7,2000,1500,"KES 14,000",Thursday,February,FALSE,"KES 12,500",,,,
7/5/2023,MAMMO_0999,Mammography Unit,Women's Health,15,10.8,0.72,20,5000,1000,"KES 100,000",Wednesday,July,FALSE,"KES 99,000",,,,
10/23/2023,CT_1000,CT Scanner,Radiology,9,7.6,0.84,11,10000,3000,"KES 110,000",Monday,October,FALSE,"KES 107,000",,,,
10/19/2023,CT_1001,CT Scanner,Radiology,17,3.9,0.23,27,10000,3000,"KES 270,000",Thursday,October,FALSE,"KES 267,000",,,,
7/23/2023,CT_1002,CT Scanner,Radiology,15,11.5,0.77,10,10000,3000,"KES 100,000",Sunday,July,TRUE,"KES 97,000",,,,
3/2/2023,US_1003,Ultrasound,Radiology,11,10.7,0.97,32,3000,1000,"KES 96,000",Thursday,March,FALSE,"KES 95,000",,,,
11/25/2023,MRI_1004,MRI Scanner,Radiology,15,1.1,0.07,3,30000,5000,"KES 90,000",Saturday,November,TRUE,"KES 85,000",,,,
5/26/2023,CT_1005,CT Scanner,Radiology,11,8.4,0.76,28,10000,3000,"KES 280,000",Friday,May,FALSE,"KES 277,000",,,,
12/7/2023,MRI_1006,MRI Scanner,Radiology,9,3.9,0.43,2,30000,5000,"KES 60,000",Thursday,December,FALSE,"KES 55,000",,,,
9/15/2023,MRI_1007,MRI Scanner,Radiology,15,2.8,0.19,5,30000,5000,"KES 150,000",Friday,September,FALSE,"KES 145,000",,,,
10/24/2023,MAMMO_1008,Mammography Unit,Women's Health,15,4.7,0.31,17,5000,1000,"KES 85,000",Tuesday,October,FALSE,"KES 84,000",,,,
1/2/2023,CT_1009,CT Scanner,Radiology,11,3.9,0.35,10,10000,3000,"KES 100,000",Monday,January,FALSE,"KES 97,000",,,,
12/24/2023,XRAY_1010,X-Ray Machine,Radiology,11,5.2,0.47,18,2000,1500,"KES 36,000",Sunday,December,TRUE,"KES 34,500",,,,
