Date,Equipment_ID,Equipment_Type,Department,Available_Hours,Actual_Operating_Hours,Utilization_Rate,Number_of_Procedures,Daily_Operating_Cost,Maintenance_Cost,Procedure_Revenue,Day_of_Week,Month,Is_Weekend,Mode_of_Payment
2023-07-26,MRI_0466,MRI Scanner,Radiology,16,0.6,0.04,4,7235.19,0,46988.06,Wednesday,July,False,insurance
2023-07-08,XRAY_0467,X-Ray Machine,Radiology,17,3.3,0.19,30,6120.95,0,33414.36,Saturday,July,True,insurance
2023-03-14,US_0468,Ultrasound,Radiology,9,8.3,0.92,20,4040.47,0,39699.57,Tuesday,March,False,cash
2023-06-03,XRAY_0469,X-Ray Machine,Radiology,12,11.2,0.93,29,4395.73,0,30586.62,Saturday,June,True,insurance
2023-03-26,MRI_0470,MRI Scanner,Radiology,14,4.0,0.29,5,6426.09,0,34441.36,Sunday,March,True,insurance
2023-09-20,XRAY_0471,X-Ray Machine,Radiology,12,8.3,0.69,24,3397.31,0,13258.41,Wednesday,September,False,cash
2023-09-22,XRAY_0472,X-Ray Machine,Radiology,18,14.7,0.82,24,1961.37,0,39266.57,Friday,September,False,insurance
2023-08-13,MAMMO_0473,Mammography Unit,Women's Health,8,5.0,0.62,28,4630.25,0,26965.05,Sunday,August,True,insurance
2023-01-09,US_0474,Ultrasound,Radiology,11,10.0,0.91,27,4344.52,0,11588.38,Monday,January,False,insurance
2023-07-19,MRI_0475,MRI Scanner,Radiology,14,3.4,0.24,5,2288.39,0,46370.15,Wednesday,July,False,cash
2023-09-04,MAMMO_0476,Mammography Unit,Women's Health,14,9.4,0.67,19,1600.39,0,33313.95,Monday,September,False,insurance
2023-01-07,XRAY_0477,X-Ray Machine,Radiology,15,8.0,0.53,23,2308.28,0,13425.89,Saturday,January,True,insurance
2023-12-21,US_0478,Ultrasound,Radiology,12,9.3,0.78,15,4515.23,0,17922.25,Thursday,December,False,cash
2023-05-29,XRAY_0479,X-Ray Machine,Radiology,19,12.6,0.66,24,1485.44,0,15880.46,Monday,May,False,cash
2023-08-28,CT_0480,CT Scanner,Radiology,10,3.2,0.32,6,5063.55,0,24546.93,Monday,August,False,insurance
2023-11-13,MRI_0481,MRI Scanner,Radiology,12,1.2,0.1,2,5926.33,0,5957.96,Monday,November,False,insurance
2023-05-18,MAMMO_0482,Mammography Unit,Women's Health,20,14.4,0.72,25,808.57,0,3041.37,Thursday,May,False,insurance
2023-12-14,MAMMO_0483,Mammography Unit,Women's Health,15,3.2,0.21,23,6976.4,0,9420.43,Thursday,December,False,insurance
2023-01-27,MRI_0484,MRI Scanner,Radiology,9,1.4,0.16,1,6075.33,0,25850.59,Friday,January,False,insurance
2023-01-18,US_0485,Ultrasound,Radiology,12,9.6,0.8,26,2340.18,0,30322.91,Wednesday,January,False,insurance
2023-06-25,XRAY_0486,X-Ray Machine,Radiology,14,7.6,0.54,26,4574.17,0,11641.07,Sunday,June,True,insurance
2023-05-23,CT_0487,CT Scanner,Radiology,13,10.5,0.81,25,3757.97,0,11935.18,Tuesday,May,False,cash
2023-08-22,MAMMO_0488,Mammography Unit,Women's Health,15,10.8,0.72,15,3392.63,0,27759.92,Tuesday,August,False,insurance
2023-08-11,CT_0489,CT Scanner,Radiology,16,5.1,0.32,9,6793.29,0,18272.97,Friday,August,False,insurance
2023-05-11,US_0490,Ultrasound,Radiology,8,6.3,0.79,24,4244.72,0,49944.94,Thursday,May,False,insurance
2023-12-26,MAMMO_0491,Mammography Unit,Women's Health,12,10.8,0.9,12,4768.14,0,30060.6,Tuesday,December,False,insurance
2023-05-10,CT_0492,CT Scanner,Radiology,10,8.6,0.86,27,1904.56,0,48302.51,Wednesday,May,False,cash
2023-09-29,XRAY_0493,X-Ray Machine,Radiology,17,6.5,0.38,27,1062.94,0,29083.49,Friday,September,False,insurance
2023-12-28,US_0494,Ultrasound,Radiology,9,8.1,0.9,34,1397.19,0,4068.7,Thursday,December,False,cash
2023-04-11,CT_0495,CT Scanner,Radiology,14,9.9,0.71,26,3693.13,0,17305.74,Tuesday,April,False,insurance
2023-06-29,MAMMO_0496,Mammography Unit,Women's Health,15,13.9,0.93,22,6975.76,0,6679.53,Thursday,June,False,insurance
2023-09-02,XRAY_0497,X-Ray Machine,Radiology,13,8.1,0.62,8,6752.38,0,37614.03,Saturday,September,True,insurance
2023-12-26,US_0498,Ultrasound,Radiology,10,7.9,0.79,26,989.55,0,8885.94,Tuesday,December,False,insurance
2023-03-04,MAMMO_0499,Mammography Unit,Women's Health,8,4.3,0.54,12,6844.41,0,47995.96,Saturday,March,True,insurance
2023-11-26,MAMMO_0500,Mammography Unit,Women's Health,14,5.5,0.39,22,1751.92,0,23687.38,Sunday,November,True,cash
2023-02-02,XRAY_0501,X-Ray Machine,Radiology,13,5.2,0.4,27,637.7,0,19775.26,Thursday,February,False,insurance
2023-10-10,US_0502,Ultrasound,Radiology,10,8.7,0.87,37,3413.25,0,36166.45,Tuesday,October,False,cash
2023-07-29,US_0503,Ultrasound,Radiology,8,6.5,0.81,25,7088.42,0,43062.38,Saturday,July,True,insurance
2023-10-14,CT_0504,CT Scanner,Radiology,18,13.5,0.75,19,870.16,0,6505.11,Saturday,October,True,cash
2023-11-25,MAMMO_0505,Mammography Unit,Women's Health,19,5.3,0.28,9,7126.12,0,25909.72,Saturday,November,True,cash
2023-10-05,CT_0506,CT Scanner,Radiology,10,8.6,0.86,9,7470.99,0,48376.44,Thursday,October,False,insurance
2023-08-20,US_0507,Ultrasound,Radiology,12,9.5,0.79,20,3333.29,0,32431.79,Sunday,August,True,insurance
2023-01-17,XRAY_0508,X-Ray Machine,Radiology,14,5.4,0.39,27,3727.94,0,8704.81,Tuesday,January,False,cash
2023-02-27,CT_0509,CT Scanner,Radiology,16,14.1,0.88,25,3799.52,0,5949.35,Monday,February,False,insurance
2023-02-03,CT_0510,CT Scanner,Radiology,8,7.2,0.9,23,3463.46,0,3350.42,Friday,February,False,insurance
2023-01-08,US_0511,Ultrasound,Radiology,9,8.9,0.99,27,4489.99,0,20451.36,Sunday,January,True,insurance
2023-11-16,CT_0512,CT Scanner,Radiology,13,12.3,0.95,10,2152.4,0,21308.06,Thursday,November,False,insurance
2023-04-09,CT_0513,CT Scanner,Radiology,16,8.4,0.53,29,2655.4,0,29505.76,Sunday,April,True,cash
2023-08-12,MAMMO_0514,Mammography Unit,Women's Health,10,6.7,0.67,15,2739.51,0,31974.37,Saturday,August,True,cash
2023-07-26,MRI_0515,MRI Scanner,Radiology,15,3.3,0.22,1,2116.93,0,44919.17,Wednesday,July,False,cash
2023-06-11,MRI_0516,MRI Scanner,Radiology,9,1.8,0.2,5,3438.77,0,20851.37,Sunday,June,True,cash
2023-11-17,XRAY_0517,X-Ray Machine,Radiology,19,6.5,0.34,26,7285.04,0,15828.33,Friday,November,False,insurance
2023-06-24,XRAY_0518,X-Ray Machine,Radiology,12,5.0,0.42,18,2000.33,0,22422.87,Saturday,June,True,cash
2023-09-27,XRAY_0519,X-Ray Machine,Radiology,20,3.6,0.18,30,1846.37,0,27068.16,Wednesday,September,False,cash
2023-11-06,MAMMO_0520,Mammography Unit,Women's Health,8,5.7,0.71,21,1733.04,0,47440.17,Monday,November,False,insurance
2023-03-16,CT_0521,CT Scanner,Radiology,12,10.6,0.88,17,5378.99,0,46432.89,Thursday,March,False,insurance
2023-10-09,MRI_0522,MRI Scanner,Radiology,10,2.0,0.2,1,7323.33,0,28440.34,Monday,October,False,insurance
2023-03-16,MAMMO_0523,Mammography Unit,Women's Health,20,6.5,0.33,9,3396.5,0,19824.55,Thursday,March,False,cash
2023-10-10,CT_0524,CT Scanner,Radiology,18,15.0,0.83,18,3519.98,0,23670.19,Tuesday,October,False,insurance
2023-02-12,MAMMO_0525,Mammography Unit,Women's Health,9,5.4,0.6,16,917.78,0,9090.34,Sunday,February,True,cash
2023-09-15,CT_0526,CT Scanner,Radiology,8,7.1,0.89,24,754.91,0,35716.16,Friday,September,False,cash
2023-03-14,MAMMO_0527,Mammography Unit,Women's Health,20,15.3,0.77,27,5953.57,0,49899.08,Tuesday,March,False,insurance
2023-08-09,XRAY_0528,X-Ray Machine,Radiology,19,18.6,0.98,16,6498.32,0,45292.43,Wednesday,August,False,insurance
2023-08-06,CT_0529,CT Scanner,Radiology,16,7.2,0.45,25,2054.48,0,22775.43,Sunday,August,True,insurance
2023-07-29,CT_0530,CT Scanner,Radiology,11,9.1,0.83,23,865.18,0,15798.92,Saturday,July,True,insurance
2023-02-11,MRI_0531,MRI Scanner,Radiology,8,1.6,0.2,3,2055.82,0,49706.8,Saturday,February,True,insurance
2023-02-25,CT_0532,CT Scanner,Radiology,17,3.7,0.22,16,4149.01,0,45898.56,Saturday,February,True,insurance
2023-06-06,MRI_0533,MRI Scanner,Radiology,9,1.3,0.14,1,4628.53,0,29765.56,Tuesday,June,False,cash
2023-09-28,US_0534,Ultrasound,Radiology,11,9.8,0.89,20,7251.12,0,13403.51,Thursday,September,False,insurance
2023-08-23,MRI_0535,MRI Scanner,Radiology,11,2.5,0.23,2,1538.99,0,45268.11,Wednesday,August,False,insurance
2023-01-18,CT_0536,CT Scanner,Radiology,17,4.3,0.25,12,2455.36,0,22632.42,Wednesday,January,False,insurance
2023-08-20,US_0537,Ultrasound,Radiology,10,8.2,0.82,39,5186.77,0,6475.91,Sunday,August,True,cash
2023-02-28,CT_0538,CT Scanner,Radiology,20,12.6,0.63,10,3195.32,0,47838.04,Tuesday,February,False,insurance
2023-05-05,MRI_0539,MRI Scanner,Radiology,13,3.0,0.23,4,6230.09,0,14198.03,Friday,May,False,insurance
2023-03-20,US_0540,Ultrasound,Radiology,10,8.7,0.87,39,2934.38,0,40593.86,Monday,March,False,insurance
2023-03-23,MRI_0541,MRI Scanner,Radiology,10,1.5,0.15,3,1314.0,0,38895.49,Thursday,March,False,insurance
2023-04-18,MRI_0542,MRI Scanner,Radiology,11,3.0,0.27,1,1203.6,0,8419.17,Tuesday,April,False,insurance
2023-04-03,US_0543,Ultrasound,Radiology,8,7.7,0.96,27,1213.94,0,31631.33,Monday,April,False,insurance
2023-08-16,XRAY_0544,X-Ray Machine,Radiology,19,18.5,0.97,15,5738.48,0,20865.71,Wednesday,August,False,insurance
2023-01-27,XRAY_0545,X-Ray Machine,Radiology,10,9.2,0.92,17,3924.79,0,16078.44,Friday,January,False,insurance
2023-02-25,MAMMO_0546,Mammography Unit,Women's Health,18,7.1,0.39,22,1078.23,0,4723.86,Saturday,February,True,insurance
2023-12-04,CT_0547,CT Scanner,Radiology,11,3.4,0.31,17,5620.7,0,8748.54,Monday,December,False,insurance
2023-04-27,CT_0548,CT Scanner,Radiology,14,13.3,0.95,12,956.09,0,33247.94,Thursday,April,False,insurance
2023-12-28,XRAY_0549,X-Ray Machine,Radiology,15,3.0,0.2,28,3858.69,0,2864.65,Thursday,December,False,cash
2023-09-08,CT_0550,CT Scanner,Radiology,20,12.1,0.6,8,6013.98,0,2412.1,Friday,September,False,insurance
2023-12-04,US_0551,Ultrasound,Radiology,8,7.5,0.94,16,842.4,0,10144.8,Monday,December,False,insurance
2023-03-24,XRAY_0552,X-Ray Machine,Radiology,14,6.3,0.45,7,5732.11,0,9299.34,Friday,March,False,insurance
2023-12-10,MAMMO_0553,Mammography Unit,Women's Health,18,8.2,0.46,8,3228.22,0,2831.83,Sunday,December,True,insurance
2023-11-13,XRAY_0554,X-Ray Machine,Radiology,20,18.9,0.94,18,6757.45,0,25804.29,Monday,November,False,insurance
2023-03-22,XRAY_0555,X-Ray Machine,Radiology,10,7.1,0.71,12,7423.23,0,11798.19,Wednesday,March,False,insurance
2023-10-07,MAMMO_0556,Mammography Unit,Women's Health,13,8.4,0.65,20,7299.04,0,34206.98,Saturday,October,True,cash
2023-03-14,US_0557,Ultrasound,Radiology,9,8.9,0.99,33,1479.16,0,25784.3,Tuesday,March,False,insurance
2023-01-02,MAMMO_0558,Mammography Unit,Women's Health,11,3.7,0.34,21,943.51,0,13366.54,Monday,January,False,insurance
2023-05-02,US_0559,Ultrasound,Radiology,12,8.9,0.74,28,642.67,0,32355.22,Tuesday,May,False,insurance
2023-05-19,US_0560,Ultrasound,Radiology,10,6.1,0.61,35,3752.58,0,40320.94,Friday,May,False,insurance
2023-09-29,CT_0561,CT Scanner,Radiology,10,5.8,0.58,14,3865.09,0,25830.04,Friday,September,False,insurance
2023-04-01,CT_0562,CT Scanner,Radiology,16,12.8,0.8,26,5470.85,0,42627.99,Saturday,April,True,cash
2023-05-23,MRI_0563,MRI Scanner,Radiology,16,1.9,0.12,4,4220.81,0,41271.87,Tuesday,May,False,cash
2023-02-01,CT_0564,CT Scanner,Radiology,16,7.7,0.48,25,6465.67,0,31032.36,Wednesday,February,False,insurance
2023-11-08,XRAY_0565,X-Ray Machine,Radiology,9,8.0,0.89,12,2685.19,0,31428.18,Wednesday,November,False,cash
2023-01-31,MAMMO_0566,Mammography Unit,Women's Health,8,5.0,0.62,12,5959.09,0,6043.51,Tuesday,January,False,cash
2023-12-26,US_0567,Ultrasound,Radiology,9,6.2,0.69,29,5742.67,0,35486.7,Tuesday,December,False,insurance
2023-03-04,US_0568,Ultrasound,Radiology,10,6.9,0.69,19,2003.04,0,12542.48,Saturday,March,True,cash
2023-10-06,US_0569,Ultrasound,Radiology,8,6.1,0.76,37,6994.78,0,32929.66,Friday,October,False,insurance
2023-06-16,MRI_0570,MRI Scanner,Radiology,10,2.1,0.21,3,4756.27,0,7309.93,Friday,June,False,insurance
2023-08-22,XRAY_0571,X-Ray Machine,Radiology,8,4.3,0.54,29,2916.88,0,8772.18,Tuesday,August,False,insurance
2023-07-04,US_0572,Ultrasound,Radiology,12,9.9,0.83,15,4131.16,0,29212.65,Tuesday,July,False,insurance
2023-10-17,XRAY_0573,X-Ray Machine,Radiology,20,3.3,0.16,27,2449.36,0,40153.05,Tuesday,October,False,cash
2023-06-07,MAMMO_0574,Mammography Unit,Women's Health,14,8.8,0.63,28,3804.5,0,18602.13,Wednesday,June,False,insurance
2023-10-02,US_0575,Ultrasound,Radiology,8,7.9,0.99,36,6592.21,0,31442.07,Monday,October,False,insurance
2023-04-07,MAMMO_0576,Mammography Unit,Women's Health,8,7.2,0.9,22,1426.35,0,9249.79,Friday,April,False,insurance
2023-08-25,CT_0577,CT Scanner,Radiology,8,4.7,0.59,25,2810.17,0,45628.75,Friday,August,False,cash
2023-10-14,XRAY_0578,X-Ray Machine,Radiology,14,8.3,0.59,16,5892.56,0,47762.61,Saturday,October,True,insurance
2023-10-09,CT_0579,CT Scanner,Radiology,17,15.2,0.89,16,3491.68,0,40858.48,Monday,October,False,insurance
2023-06-15,MAMMO_0580,Mammography Unit,Women's Health,17,3.3,0.19,17,2394.59,0,24224.11,Thursday,June,False,insurance
2023-02-11,MRI_0581,MRI Scanner,Radiology,12,3.0,0.25,5,5248.12,0,2437.06,Saturday,February,True,insurance
2023-07-18,CT_0582,CT Scanner,Radiology,18,16.2,0.9,22,1896.19,0,26480.38,Tuesday,July,False,insurance
2023-03-05,MRI_0583,MRI Scanner,Radiology,10,2.1,0.21,4,5152.63,0,11229.75,Sunday,March,True,cash
2023-10-16,XRAY_0584,X-Ray Machine,Radiology,13,7.4,0.57,24,681.58,0,2535.05,Monday,October,False,insurance
2023-05-22,CT_0585,CT Scanner,Radiology,8,6.1,0.76,29,4521.75,0,46408.25,Monday,May,False,insurance
2023-04-29,XRAY_0586,X-Ray Machine,Radiology,19,5.0,0.26,29,2850.27,0,49779.24,Saturday,April,True,insurance
2023-05-16,US_0587,Ultrasound,Radiology,9,6.5,0.72,24,821.66,0,33759.46,Tuesday,May,False,cash
2023-10-18,MRI_0588,MRI Scanner,Radiology,9,1.7,0.19,3,2720.41,0,45129.57,Wednesday,October,False,insurance
2023-04-04,XRAY_0589,X-Ray Machine,Radiology,16,8.4,0.53,6,2013.95,0,14857.49,Tuesday,April,False,insurance
2023-07-26,MRI_0590,MRI Scanner,Radiology,8,1.6,0.2,1,1105.71,0,43898.32,Wednesday,July,False,insurance
2023-10-31,MAMMO_0591,Mammography Unit,Women's Health,11,3.0,0.27,12,5185.71,0,28879.16,Tuesday,October,False,cash
2023-01-25,MAMMO_0592,Mammography Unit,Women's Health,10,6.2,0.62,29,2631.63,0,3667.44,Wednesday,January,False,insurance
2023-07-31,MRI_0593,MRI Scanner,Radiology,14,1.3,0.09,3,5353.8,0,8766.4,Monday,July,False,insurance
2023-11-19,US_0594,Ultrasound,Radiology,12,7.2,0.6,20,7161.08,0,24186.5,Sunday,November,True,insurance
2023-09-13,CT_0595,CT Scanner,Radiology,18,5.3,0.29,20,7124.85,0,37118.61,Wednesday,September,False,insurance
2023-08-30,US_0596,Ultrasound,Radiology,12,11.7,0.97,17,2890.05,0,27832.9,Wednesday,August,False,insurance
2023-12-31,XRAY_0597,X-Ray Machine,Radiology,16,11.6,0.72,30,5827.84,0,22133.12,Sunday,December,True,cash
2023-06-27,CT_0598,CT Scanner,Radiology,8,6.3,0.79,29,4733.12,0,14414.94,Tuesday,June,False,insurance
2023-10-12,MAMMO_0599,Mammography Unit,Women's Health,17,5.7,0.34,7,4396.73,0,32349.1,Thursday,October,False,cash
2023-02-24,MRI_0600,MRI Scanner,Radiology,8,3.2,0.4,4,4628.05,0,41119.09,Friday,February,False,insurance
2023-01-12,XRAY_0601,X-Ray Machine,Radiology,10,9.7,0.97,26,2423.73,0,33259.95,Thursday,January,False,insurance
2023-12-28,MRI_0602,MRI Scanner,Radiology,10,2.6,0.26,2,4234.26,0,25823.36,Thursday,December,False,insurance
2023-03-14,US_0603,Ultrasound,Radiology,12,9.6,0.8,17,4228.77,0,21390.13,Tuesday,March,False,insurance
2023-01-04,MAMMO_0604,Mammography Unit,Women's Health,19,11.2,0.59,13,2860.01,0,25038.95,Wednesday,January,False,insurance
2023-06-08,CT_0605,CT Scanner,Radiology,8,6.7,0.84,15,935.39,0,47415.93,Thursday,June,False,insurance
2023-06-20,XRAY_0606,X-Ray Machine,Radiology,8,3.6,0.45,18,1553.57,0,38058.11,Tuesday,June,False,insurance
2023-03-23,XRAY_0607,X-Ray Machine,Radiology,10,7.0,0.7,15,7050.61,0,42773.33,Thursday,March,False,insurance
2023-01-15,US_0608,Ultrasound,Radiology,9,7.9,0.88,19,6884.92,0,2118.1,Sunday,January,True,insurance
2023-09-25,CT_0609,CT Scanner,Radiology,12,10.4,0.87,28,2757.56,0,23535.22,Monday,September,False,cash
2023-08-11,XRAY_0610,X-Ray Machine,Radiology,19,3.0,0.16,26,6067.35,0,17526.37,Friday,August,False,insurance
2023-09-14,US_0611,Ultrasound,Radiology,9,7.9,0.88,17,6158.62,0,39595.19,Thursday,September,False,insurance
2023-01-11,US_0612,Ultrasound,Radiology,10,7.0,0.7,25,1973.65,0,2340.13,Wednesday,January,False,cash
2023-08-14,MRI_0613,MRI Scanner,Radiology,11,2.6,0.24,2,7139.56,0,32750.23,Monday,August,False,insurance
2023-01-30,US_0614,Ultrasound,Radiology,10,7.9,0.79,23,3080.83,0,6800.64,Monday,January,False,insurance
2023-03-21,MRI_0615,MRI Scanner,Radiology,10,0.7,0.07,4,5096.69,0,24607.43,Tuesday,March,False,insurance
2023-01-23,US_0616,Ultrasound,Radiology,11,7.1,0.65,20,3497.32,0,1349.16,Monday,January,False,insurance
2023-10-26,CT_0617,CT Scanner,Radiology,20,15.9,0.8,18,3671.53,0,40377.81,Thursday,October,False,cash
2023-01-27,MAMMO_0618,Mammography Unit,Women's Health,15,9.0,0.6,7,7448.01,0,42777.17,Friday,January,False,insurance
2023-11-10,MAMMO_0619,Mammography Unit,Women's Health,17,4.5,0.26,18,2134.87,0,48187.73,Friday,November,False,insurance
2023-07-23,CT_0620,CT Scanner,Radiology,12,7.0,0.58,17,6121.94,0,22087.97,Sunday,July,True,insurance
2023-09-06,MAMMO_0621,Mammography Unit,Women's Health,19,11.5,0.61,27,1884.9,0,17667.91,Wednesday,September,False,cash
2023-08-05,XRAY_0622,X-Ray Machine,Radiology,13,6.6,0.51,25,5549.52,0,47352.09,Saturday,August,True,insurance
2023-08-31,MAMMO_0623,Mammography Unit,Women's Health,17,7.7,0.45,24,3043.86,0,23102.78,Thursday,August,False,cash
2023-12-20,MAMMO_0624,Mammography Unit,Women's Health,18,17.1,0.95,10,6569.66,0,23165.76,Wednesday,December,False,cash
2023-11-20,US_0625,Ultrasound,Radiology,9,6.3,0.7,28,2455.13,0,46190.72,Monday,November,False,cash
2023-05-23,US_0626,Ultrasound,Radiology,10,9.1,0.91,16,3522.29,0,10716.92,Tuesday,May,False,insurance
2023-07-06,MAMMO_0627,Mammography Unit,Women's Health,16,6.0,0.38,25,3917.34,0,45282.4,Thursday,July,False,cash
2023-07-09,MRI_0628,MRI Scanner,Radiology,8,1.9,0.24,4,6139.02,0,13821.96,Sunday,July,True,cash
2023-10-28,MRI_0629,MRI Scanner,Radiology,13,1.4,0.11,4,6587.91,0,46718.92,Saturday,October,True,insurance
2023-03-15,MRI_0630,MRI Scanner,Radiology,9,1.1,0.12,3,4184.93,0,34000.01,Wednesday,March,False,insurance
2023-03-13,MAMMO_0631,Mammography Unit,Women's Health,9,4.4,0.49,29,6882.48,0,28952.77,Monday,March,False,cash
2023-06-16,US_0632,Ultrasound,Radiology,10,8.1,0.81,32,2856.27,0,17036.42,Friday,June,False,cash
2023-10-28,XRAY_0633,X-Ray Machine,Radiology,12,5.8,0.48,21,4599.07,0,17719.82,Saturday,October,True,insurance
2023-05-05,US_0634,Ultrasound,Radiology,8,7.2,0.9,36,5914.03,0,33176.23,Friday,May,False,insurance
2023-09-26,MAMMO_0635,Mammography Unit,Women's Health,17,3.2,0.19,16,5105.31,0,30081.79,Tuesday,September,False,cash
2023-03-18,XRAY_0636,X-Ray Machine,Radiology,14,4.8,0.34,11,7141.09,0,5406.4,Saturday,March,True,insurance
2023-03-11,MRI_0637,MRI Scanner,Radiology,11,1.2,0.11,3,4937.71,0,27809.66,Saturday,March,True,insurance
2023-05-25,US_0638,Ultrasound,Radiology,8,6.6,0.82,38,5608.15,0,2367.25,Thursday,May,False,cash
2023-07-21,MAMMO_0639,Mammography Unit,Women's Health,8,6.2,0.78,10,6132.08,0,15938.4,Friday,July,False,insurance
2023-08-02,XRAY_0640,X-Ray Machine,Radiology,12,3.9,0.33,17,2016.85,0,36812.27,Wednesday,August,False,insurance
2023-10-25,MAMMO_0641,Mammography Unit,Women's Health,14,13.3,0.95,25,592.55,0,45552.3,Wednesday,October,False,cash
2023-02-27,XRAY_0642,X-Ray Machine,Radiology,10,3.7,0.37,20,4291.94,0,42264.85,Monday,February,False,insurance
2023-05-02,CT_0643,CT Scanner,Radiology,9,7.5,0.83,22,2874.9,0,1888.69,Tuesday,May,False,insurance
2023-03-30,MRI_0644,MRI Scanner,Radiology,10,2.8,0.28,2,592.37,0,33094.32,Thursday,March,False,insurance
2023-11-18,MRI_0645,MRI Scanner,Radiology,11,2.0,0.18,4,2622.98,0,41511.05,Saturday,November,True,insurance
2023-12-20,MRI_0646,MRI Scanner,Radiology,15,2.0,0.13,3,4955.0,0,48937.3,Wednesday,December,False,insurance
2023-01-15,CT_0647,CT Scanner,Radiology,9,3.9,0.43,26,6774.43,0,48165.04,Sunday,January,True,insurance
2023-01-08,MAMMO_0648,Mammography Unit,Women's Health,18,11.8,0.66,11,4302.2,0,48408.63,Sunday,January,True,insurance
2023-11-15,MRI_0649,MRI Scanner,Radiology,16,1.3,0.08,4,2376.39,0,17367.4,Wednesday,November,False,cash
2023-11-27,US_0650,Ultrasound,Radiology,12,11.1,0.92,22,4703.31,0,27221.4,Monday,November,False,insurance
2023-07-05,CT_0651,CT Scanner,Radiology,9,5.4,0.6,9,1558.76,0,11873.57,Wednesday,July,False,insurance
2023-01-11,US_0652,Ultrasound,Radiology,10,7.7,0.77,18,7199.61,0,38551.73,Wednesday,January,False,insurance
2023-05-03,XRAY_0653,X-Ray Machine,Radiology,8,3.5,0.44,27,6037.78,0,41175.3,Wednesday,May,False,insurance
2023-03-07,CT_0654,CT Scanner,Radiology,15,11.9,0.79,8,6000.48,0,44937.56,Tuesday,March,False,cash
2023-12-20,US_0655,Ultrasound,Radiology,10,7.4,0.74,33,4072.95,0,1793.28,Wednesday,December,False,cash
2023-05-25,XRAY_0656,X-Ray Machine,Radiology,13,11.3,0.87,17,1188.69,0,39766.04,Thursday,May,False,cash
2023-06-21,MRI_0657,MRI Scanner,Radiology,15,1.5,0.1,4,3959.0,0,38519.47,Wednesday,June,False,cash
2023-09-07,XRAY_0658,X-Ray Machine,Radiology,16,14.6,0.91,22,3326.42,0,6443.88,Thursday,September,False,insurance
2023-11-23,MRI_0659,MRI Scanner,Radiology,15,1.5,0.1,3,6394.78,0,21506.92,Thursday,November,False,cash
2023-04-02,MAMMO_0660,Mammography Unit,Women's Health,8,5.0,0.62,7,6168.45,0,31734.49,Sunday,April,True,insurance
2023-03-03,MAMMO_0661,Mammography Unit,Women's Health,13,7.7,0.59,23,3532.59,0,4850.6,Friday,March,False,insurance
2023-04-08,US_0662,Ultrasound,Radiology,10,7.5,0.75,22,5169.11,0,11692.06,Saturday,April,True,cash
2023-02-27,US_0663,Ultrasound,Radiology,9,7.2,0.8,35,635.04,0,24677.78,Monday,February,False,insurance
2023-10-22,XRAY_0664,X-Ray Machine,Radiology,10,9.9,0.99,28,4430.38,0,7867.51,Sunday,October,True,insurance
2023-02-08,MRI_0665,MRI Scanner,Radiology,15,3.5,0.23,4,7396.75,0,28699.66,Wednesday,February,False,insurance
2023-01-28,MRI_0666,MRI Scanner,Radiology,13,3.3,0.25,4,6593.65,0,31854.94,Saturday,January,True,insurance
2023-12-26,MAMMO_0667,Mammography Unit,Women's Health,18,13.9,0.77,29,5340.46,0,2247.1,Tuesday,December,False,insurance
2023-10-20,MRI_0668,MRI Scanner,Radiology,8,2.2,0.28,5,2073.04,0,25673.37,Friday,October,False,insurance
2023-10-12,XRAY_0669,X-Ray Machine,Radiology,14,11.8,0.84,9,7014.76,0,8243.91,Thursday,October,False,insurance
2023-02-10,CT_0670,CT Scanner,Radiology,18,9.2,0.51,16,1179.23,0,11652.13,Friday,February,False,insurance
2023-11-19,MRI_0671,MRI Scanner,Radiology,12,3.5,0.29,1,1075.1,0,40801.66,Sunday,November,True,cash
2023-01-14,CT_0672,CT Scanner,Radiology,17,12.5,0.74,12,872.9,0,26359.25,Saturday,January,True,insurance
2023-04-04,CT_0673,CT Scanner,Radiology,10,4.3,0.43,11,600.11,0,20797.18,Tuesday,April,False,insurance
2023-04-26,MAMMO_0674,Mammography Unit,Women's Health,18,12.7,0.71,30,6436.19,0,34866.51,Wednesday,April,False,insurance
2023-10-11,XRAY_0675,X-Ray Machine,Radiology,12,11.9,0.99,29,6829.2,0,22551.61,Wednesday,October,False,insurance
2023-08-09,MAMMO_0676,Mammography Unit,Women's Health,11,8.5,0.77,13,4568.95,0,30891.84,Wednesday,August,False,insurance
2023-02-25,MAMMO_0677,Mammography Unit,Women's Health,18,6.4,0.36,12,4300.25,0,48617.47,Saturday,February,True,insurance
2023-01-17,CT_0678,CT Scanner,Radiology,15,3.4,0.23,29,5777.59,0,25152.15,Tuesday,January,False,insurance
2023-05-15,MAMMO_0679,Mammography Unit,Women's Health,10,4.3,0.43,29,1804.82,0,3265.28,Monday,May,False,insurance
2023-12-03,CT_0680,CT Scanner,Radiology,10,6.3,0.63,21,5137.7,0,17431.77,Sunday,December,True,cash
2023-11-27,CT_0681,CT Scanner,Radiology,9,7.4,0.82,18,514.37,0,30046.39,Monday,November,False,insurance
2023-09-29,US_0682,Ultrasound,Radiology,8,6.6,0.82,16,3317.12,0,41444.22,Friday,September,False,cash
